[Imports]
nth vaddr       bind type lib          name
5   0x1405b25e0 NONE FUNC ntdll.dll    NtCreateFile
6   0x1405b25e8 NONE FUNC ntdll.dll    NtDeviceIoControlFile
1   0x1405b2038 NONE FUNC crypt32.dll  CertGetCertificateChain
2   0x1405b2040 NONE FUNC crypt32.dll  CertEnumCertificatesInStore
3   0x1405b2048 NONE FUNC crypt32.dll  CertDuplicateCertificateContext
4   0x1405b2050 NONE FUNC crypt32.dll  CertCloseStore
5   0x1405b2058 NONE FUNC crypt32.dll  CertFreeCertificateChain
6   0x1405b2060 NONE FUNC crypt32.dll  CertVerifyCertificateChainPolicy
7   0x1405b2068 NONE FUNC crypt32.dll  CertFreeCertificateContext
8   0x1405b2070 NONE FUNC crypt32.dll  CertDuplicateStore
9   0x1405b2078 NONE FUNC crypt32.dll  CertDuplicateCertificateChain
10  0x1405b2080 NONE FUNC crypt32.dll  CertOpenStore
11  0x1405b2088 NONE FUNC crypt32.dll  CertAddCertificateContextToStore
1   0x1405b2028 NONE FUNC bcrypt.dll   BCryptGenRandom
1   0x1405b2000 NONE FUNC advapi32.dll RegOpenKeyExW
2   0x1405b2008 NONE FUNC advapi32.dll SystemFunction036
3   0x1405b2010 NONE FUNC advapi32.dll RegCloseKey
4   0x1405b2018 NONE FUNC advapi32.dll RegQueryValueExW
1   0x1405b26a0 NONE FUNC ws2_32.dll   sendto
2   0x1405b26a8 NONE FUNC ws2_32.dll   recvfrom
3   0x1405b26b0 NONE FUNC ws2_32.dll   getaddrinfo
4   0x1405b26b8 NONE FUNC ws2_32.dll   connect
5   0x1405b26c0 NONE FUNC ws2_32.dll   freeaddrinfo
6   0x1405b26c8 NONE FUNC ws2_32.dll   WSAStartup
7   0x1405b26d0 NONE FUNC ws2_32.dll   WSACleanup
8   0x1405b26d8 NONE FUNC ws2_32.dll   bind
9   0x1405b26e0 NONE FUNC ws2_32.dll   WSASocketW
10  0x1405b26e8 NONE FUNC ws2_32.dll   closesocket
11  0x1405b26f0 NONE FUNC ws2_32.dll   ioctlsocket
12  0x1405b26f8 NONE FUNC ws2_32.dll   socket
13  0x1405b2700 NONE FUNC ws2_32.dll   recv
14  0x1405b2708 NONE FUNC ws2_32.dll   WSAIoctl
15  0x1405b2710 NONE FUNC ws2_32.dll   send
16  0x1405b2718 NONE FUNC ws2_32.dll   WSASend
17  0x1405b2720 NONE FUNC ws2_32.dll   getsockname
18  0x1405b2728 NONE FUNC ws2_32.dll   WSAGetLastError
19  0x1405b2730 NONE FUNC ws2_32.dll   getpeername
20  0x1405b2738 NONE FUNC ws2_32.dll   shutdown
21  0x1405b2740 NONE FUNC ws2_32.dll   getsockopt
22  0x1405b2748 NONE FUNC ws2_32.dll   setsockopt
1   0x1405b2690 NONE FUNC user32.dll   MessageBoxW
1   0x1405b2678 NONE FUNC shell32.dll  SHCreateItemFromParsingName
2   0x1405b2680 NONE FUNC shell32.dll  SHGetKnownFolderPath
1   0x1405b25f8 NONE FUNC ole32.dll    CoTaskMemFree
2   0x1405b2600 NONE FUNC ole32.dll    CoInitializeEx
3   0x1405b2608 NONE FUNC ole32.dll    CoCreateInstance
4   0x1405b2610 NONE FUNC ole32.dll    CoUninitialize
1   0x1405b2098 NONE FUNC iphlpapi.dll GetAdaptersAddresses
1   0x1405b2620 NONE FUNC secur32.dll  AcquireCredentialsHandleA
2   0x1405b2628 NONE FUNC secur32.dll  DeleteSecurityContext
3   0x1405b2630 NONE FUNC secur32.dll  FreeCredentialsHandle
4   0x1405b2638 NONE FUNC secur32.dll  FreeContextBuffer
5   0x1405b2640 NONE FUNC secur32.dll  EncryptMessage
6   0x1405b2648 NONE FUNC secur32.dll  DecryptMessage
7   0x1405b2650 NONE FUNC secur32.dll  ApplyControlToken
8   0x1405b2658 NONE FUNC secur32.dll  AcceptSecurityContext
9   0x1405b2660 NONE FUNC secur32.dll  InitializeSecurityContextW
10  0x1405b2668 NONE FUNC secur32.dll  QueryContextAttributesW

